Fname,Lname,University,Dept,PhD,href
Borje,Saxberg,University of Washington,Business,University of Illinois ,http://foster.uw.edu/faculty-research/directory/borje-saxberg/
Amin,Sayedi,University of Washington,Business,Carnegie-Mellon University ,http://foster.uw.edu/faculty-research/directory/amin-sayedi/
Lawrence,Schall,University of Washington,Business,University of Chicago ,http://foster.uw.edu/faculty-research/directory/lawrence-schall/
Ann,Schlosser,University of Washington,Business,University of Illinois ,http://foster.uw.edu/faculty-research/directory/ann-schlosser/
Thomas,Schmitt,University of Washington,Business,Indiana University ,http://foster.uw.edu/faculty-research/directory/thomas-schmitt/
Florian,Schulz,University of Washington,Business,"University of California, Los Angeles ",http://foster.uw.edu/faculty-research/directory/florian-schulz/
Stephan,Sefcik,University of Washington,Business,University of Illinois at Urbana-Champaign ,http://foster.uw.edu/faculty-research/directory/stephan-sefcik/
Tracey,Seslen,University of Washington,Business,Massachusetts Institute of Technology ,http://foster.uw.edu/faculty-research/directory/tracey-seslen/
Francine,Shafer,University of Washington,Business,no PhD ,http://foster.uw.edu/faculty-research/directory/francine-shafer/
Lian,Shao,University of Washington,Business,Cornell University ,http://foster.uw.edu/faculty-research/directory/lian-shao/
D.,Shores,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/d-shores/
Jeffrey,Shulman,University of Washington,Business,Northwestern University ,http://foster.uw.edu/faculty-research/directory/jeffrey-shulman/
Andrew,Siegel,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/andrew-siegel/
Stephan,Siegel,University of Washington,Business,Columbia University ,http://foster.uw.edu/faculty-research/directory/stephan-siegel/
David,Sirmon,University of Washington,Business,Arizona State University ,http://foster.uw.edu/faculty-research/directory/david-sirmon/
Thaddeus,Spratlen,University of Washington,Business,Ohio State University ,http://foster.uw.edu/faculty-research/directory/thaddeus-spratlen/
Elizabeth,Stearns,University of Washington,Business,New York University ,http://foster.uw.edu/faculty-research/directory/elizabeth-stearns/
Kevin,Steensma,University of Washington,Business,Indiana University ,http://foster.uw.edu/faculty-research/directory/kevin-steensma/
Erich,Studer-Ellis,University of Washington,Business,Duke University ,http://foster.uw.edu/faculty-research/directory/erich-studer-ellis/
Jeremiah,Sullivan,University of Washington,Business,New York University ,http://foster.uw.edu/faculty-research/directory/jeremiah-sullivan/
Gary,Sundem,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/gary-sundem/
Hirokuni,Tamura,University of Washington,Business,University of Michigan ,http://foster.uw.edu/faculty-research/directory/hirokuni-tamura/
Yong,Tan,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/yong-tan/
David,Tan,University of Washington,Business,Emory University ,http://foster.uw.edu/faculty-research/directory/david-tan/
Lloyd,D. Tanlu,University of Washington,Business,Harvard University ,http://foster.uw.edu/faculty-research/directory/lloyd-tanlu/
Jake,Thornock,University of Washington,Business,University of North Carolina at Chapel Hill ,http://foster.uw.edu/faculty-research/directory/jake-thornock/
Daniel,Turner,University of Washington,Business,Northwestern University ,http://foster.uw.edu/faculty-research/directory/daniel-turner/
Elizabeth,Umphress,University of Washington,Business,Tulane University ,http://foster.uw.edu/faculty-research/directory/elizabeth-umphress/
Karl,Vesper,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/karl-vesper/
Michael,Wagner,University of Washington,Business,Massachusetts Institute of Technology ,http://foster.uw.edu/faculty-research/directory/michael-wagner/
William,Wells,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/william-wells/
David,Welsh,University of Washington,Business,University of Arizona ,http://foster.uw.edu/faculty-research/directory/david-welsh/
Mark,Westerfield,University of Washington,Business,Massachusetts Institute of Technology ,http://foster.uw.edu/faculty-research/directory/mark-westerfield/
Jack,Whelan,University of Washington,Business,Yale University ,http://foster.uw.edu/faculty-research/directory/jack-whelan/
Jianqing,Wu,University of Washington,Business,Purdue University ,http://foster.uw.edu/faculty-research/directory/jianqing-wu/
Richard,Yalch,University of Washington,Business,Northwestern University ,http://foster.uw.edu/faculty-research/directory/richard-yalch/
Hema,Yoganarasimhan,University of Washington,Business,Yale University ,http://foster.uw.edu/faculty-research/directory/hema-yoganarasimhan/
Lance,Young,University of Washington,Business,University of Rochester ,http://foster.uw.edu/faculty-research/directory/lance-young/
Jonathan,Z. Zhang,University of Washington,Business,Columbia University ,http://foster.uw.edu/faculty-research/directory/jonathan-zhang/
Yong-Pin,Zhou,University of Washington,Business,University of Pennsylvania ,http://foster.uw.edu/faculty-research/directory/yong-pin-zhou/
